post_id,post_caption,content_type,total_likes,num_shares,comment_count,avg_sentiment_score,sentiment_variance,negative_comment_ratio,main_topic,most_positive_comment,original_positive_context,most_negative_comment,original_negative_context,weighted_engagement_rate
1187559552928292,"Friday faceoff!
ಮುಖಾಮುಖಿ ಕಾರ್ಯಕ್ರಮದಲ್ಲಿ....
ಜನರೇ ನೀಡಿದ ಜವಾಬ್ದಾರಿ ಅದನ್ನು ನಿಭಾಯಿಸುವುದು ನಮ್ಮಕರ್ತವ್ಯ..ಸಂಸದೆಯಾಗಿ ನನ್ನ ಕ್ಷೇತ್ರದ ಸಮಗ್ರ ಅಭಿವೃದ್ಧಿಗೆ ನಾನು ಸದಾಸಿದ್ದ ಜೊತೆಗೆ ಶಾಮನೂರು ಕುಟುಂಬ ಜನರ ಒಳಿತಿಗಾಗಿ ಹಾಗೂ ದಾವಣಗೆರೆ ಜಿಲ್ಲೆಯ ಅಭಿವೃದ್ಧಿಗೆ ಯಾವಾಗಲೂ ಬದ್ದ....
#NammaPrabha #MPOfDavangere",Unknown,522,39,1,1.0,,0.0,Praise,Ur decition is good for society,Ur decition is good for society,No distinct negative comment,N/A,0.0068295454545454545
1190124212671826,"ಗಣರಾಜ್ಯೋತ್ಸವದ ಸಂಭ್ರಮ
#NammaPrabha #MPOfDavangere",Unknown,773,17,1,,,0.0,N/A,No analyzable text comments,N/A,No distinct negative comment,N/A,0.009181818181818182
1193619685655612,"ಬಜೆಟ್ ನಲ್ಲಿ ಆರೋಗ್ಯ ಕ್ಷೇತ್ರಕ್ಕೆ ಸಂಬಂಧಿಸಿದಂತೆ ಬಡ ಹಾಗೂ ಮಧ್ಯಮ‌ವರ್ಗದವರಿಗೆ ಡಯಾಲಿಸಿಸ್ ಸೆಂಟರ್ ನೀಡಿಲ್ಲ.ಆದರೆ ದಾವಣಗೆರೆಯಲ್ಲಿ ನಮ್ಮ ಎಸ್ ಎಸ್ ಕೇರ್ ಟ್ರಸ್ಟ್‌ ಮೂಲಕ‌ ಪ್ರತಿ ತಿಂಗಳು‌ ಸುಮಾರು 500-600 ಡಯಾಲಿಸಿಸ್ ಗಳನ್ನು ನಾವು ಉಚಿತವಾಗಿ ಮಾಡುತ್ತಿದ್ದೇವೆ.ಈ ಬಗ್ಗೆ ಮಾಧ್ಯಮಗಳಿಗೆ ಪ್ರತಿಕ್ರಿಯೆ ನೀಡಿದ ಸಂದರ್ಭ.
#HealthandWellness #Dialysis #Davangere",Unknown,1836,67,24,-0.125,0.6358695652173915,0.375,Healthcare,"Namaste Madam, there is no politician who can speak like you. Jai Congress",🙏ನಮಸ್ತೆ ಮೇಡಂ ನಿಮ್ಮ ಹಾಗೆ ತಿಳ್ಳಿಸಿ ಹೆಳಿಂದ ವರು ಯವ ರಾಜಕಾರಣಿ ಯು  ಇಲ್ಲ. ಜೈ ಕಾಂಗ್ರೆಸ್,"Madam, SS Hospital charges 7000 for an MRI, CT scan. Please tell me which poor person has received it for free...",ಮೇಡಂ ss hospital ಅಲ್ಲಿ ಒಬ್ಬರಿಗೆ mri haagu ct scan ಮಾಡಲು 7000ಚಾರ್ಜ್ ಆಗುತ್ತೆ ಅದನ್ನ ಯಾವ ಬಡವರು ಉಚಿತವಾಗಿ ಪಡೆದಿದ್ದಾರೆ ಅಂತ ಮಾಹಿತಿ ಇದ್ರೆ ಕೊಡಿ ...,0.02265909090909091
1195167452167502,"ತೆರಿಗೆ ಕೊಟ್ಟರೂ ಸಿಗದ ಅನುದಾನ....
#NammaPrabha #MPOfDavangere #Budget2025",Unknown,1815,54,1,0.0,,0.0,Praise,p,🙏p🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏,No distinct negative comment,N/A,0.021863636363636363
1195724588778455,"ಅನುದಾನ‌ ನೀಡುವಲ್ಲಿ ಕೇಂದ್ರದ ತಾರತಮ್ಯ...
#NammaPrabha #MPOfDavangere",Unknown,4796,130,17,0.2,0.4571428571428572,0.13333333333333333,Praise,"Madam, I admire your beloved MP. I am your big fan Madam. Namaste Madam","ಮೇಡಂ ನಾನು ಮೆಚ್ಚಿದ ಪ್ರೀತಿಯ MP.
ನಾನು ನಿಮ್ಮ ದೊಡ್ಡ ಫ್ಯಾನ್ ಮೇಡಂ.
ನಮಸ್ತೆ ಮೇಡಂ 🙏🙏🇮🇳",People don't want to fact madom they will be in only adict for religion,People don't want to fact madom they will be in only adict for religion,0.057647727272727274
1197614458589468,"ಆಯುಷ್ಮಾನ್ ಭಾರತ್ ಯೋಜನೆ ಅಡಿಯಲ್ಲಿ ಬಿಪಿಎಲ್ ಕಾರ್ಡ್ ಹೊಂದಿರುವವರ ಜೊತೆಗೆ ಆರ್ಥಿಕವಾಗಿ ಹಿಂದುಳಿದ ಬಡವರನ್ನು ಸೇರಿಸಬೇಕು ಹಾಗೂ
ವೈದ್ಯರು, ಸಂಪನ್ಮೂಲಗಳು ಮತ್ತು ಮೂಲಸೌಕರ್ಯಗಳ ಕೊರತೆಯನ್ನು ಪರಿಹರಿಸಲು ತೆಗೆದುಕೊಂಡ ಕ್ರಮಗಳು, ಪ್ರಸ್ತುತ ಯೋಜನೆಯಡಿಯ ಪಟ್ಟಿಯಲ್ಲಿರುವ ಆಸ್ಪತ್ರೆಗಳ ಸಂಖ್ಯೆ, ರಾಜ್ಯವಾರು ಅವುಗಳ ವ್ಯಾಪ್ತಿ ಮತ್ತು ಅನುಷ್ಠಾನದ ಪ್ರಗತಿಯ ವಿವರಗಳ ಕುರಿತು‌ ಸಂಸತ್ತಿನಲ್ಲಿ ನಡೆದ ಅಧಿವೇಶನದಲ್ಲಿ ಪ್ರಶ್ನಿಸಲಾಯಿತು
#Budgetsessions2025 #Loksabha #NammaPrabha #MPOfDavangere",Unknown,2497,160,10,0.25,0.9166666666666666,0.25,Criticism,"Our proud Prabha Madam, Member of Lok Sabha",ನಮ್ಮ ಹೆಮ್ಮೆಯ ಪ್ರಭಾ ಮೇಡಂ ಲೋಕಸಭಾ ಸದಸ್ಯರು,"Not one of our BJP MPs spoke about the development of the state, but about the unworkable Hindu-Muslim divide.","ನಮ್ಮ ಬಿಜೆಪಿ ಸಂಸದರು ಒಬ್ಬರು ರಾಜ್ಯದ ಅಭಿವೃದ್ಧಿ ಬಗ್ಗೆ ಮಾತಾಡಲಿಲ್ಲ, ಮಾತಾಡಿದ್ದು ಕೆಲಸಕ್ಕೆ ಬಾರದ ಹಿಂದೂ ಮುಸ್ಲಿಂ ಬಗ್ಗೆ.",0.032125
1198204728530441,"ಅಂಗನವಾಡಿ,ಆಶಾ ಕಾರ್ಯಕರ್ತರು ಹಾಗೂ ಸಹಾಯಕಿಯರ ಸಮಸ್ಯೆಗಳ ನಿವಾರಣೆಗೆ ಸದಾಸಿದ್ದ.
#NammaPrabha #MPOfDavangere",Unknown,837,25,2,0.5,0.5,0.0,Criticism,"Thank you to Prabha Madam for demanding a fair demand, workers, the voice of light is Dr Prabha Madam.","ನ್ಯಾಯಯುತವಾದ ಬೇಡಿಕೆಗೆ ಆಗ್ರಹಿಸಿದ  ಪ್ರಭ ಮೇಡಂ ರವರಿಗೆ ಧನ್ಯವಾದಗಳು 
ಶ್ರಮಿಕರ, ಧ್ವನಿ ಬೆಳಕು dr ಪ್ರಭ ಮೇಡಂ",Janata Samajwadi Madam in Davangere,ದಾವಣಗೆರೆಯಲ್ಲಿ ಜನತಾ ಸಮೂಹದ ಮಾಡಿ ಮೇಡಂ,0.010102272727272727
1199867345030846,"ಭಾನುವಾರದ ಕಾರ್ಯ ಚಟುವಟಿಕೆಗಳು
#NammaPrabha #MPOfDavangere",Unknown,1631,24,2,,,0.0,N/A,No analyzable text comments,N/A,No distinct negative comment,N/A,0.019102272727272728
1203287948022119,"ವಿದ್ಯಾರ್ಥಿಗಳಿಗೆ ಗುಣಮಟ್ಟದ ಶಿಕ್ಷಣ, ಉದ್ಯೋಗ ಪಡೆಯಲು ಅಗತ್ಯವಿರುವ ತಂತ್ರಜ್ಞಾನ ಮತ್ತು ಕೌಶಲ್ಯ ತರಬೇತಿ ಜೊತೆಗೆ ಸ್ಪರ್ಧಾತ್ಮಕ ಪರೀಕ್ಷೆಗಳಿಗಾಗಿ ಪ್ರೋತ್ಸಾಹ ನೀಡುವುದು ನಮ್ಮ ಉದ್ದೇಶ
#QualityEducation #SkillDevelopment",Unknown,2039,62,7,0.5,0.5,0.0,Praise,"This time, we have selected the mother of Davangere district as a good mother.",ದಾವಣಗೆರೆ ಜಿಲ್ಲೆಯ ತಾಯಿ ಈ ಸಲ ಒಳ್ಳೆ ತಾಯಿಗೆ ಆಯ್ಕೆ ಮಾಡಿದ್ದೇವೆ,I think right person was elected in Davanagere district,I think  right  person  was elected  in Davanagere  district,0.02465909090909091
1204220991262148,"2025-26ನೇ ಹಣಕಾಸು ವರ್ಷದಲ್ಲಿ ಆರೋಗ್ಯ ಕ್ಷೇತ್ರಕ್ಕೆ ₹99,858 ಕೋಟಿ ಮಾತ್ರ ಮೀಸಲಿಡಲಾಗಿದೆ ಇದು  ಅತ್ಯಲ್ಪವಾಗಿದ್ದು. ಈ ಬಗ್ಗೆ ಬಜೆಟ್ ಅಧಿವೇಶನದಲ್ಲಿ ಮಾತನಾಡಿದ ಸಂದರ್ಭ.
#Budget2025 #HealthcareFunding",Unknown,92,3,1,,,0.0,N/A,No analyzable text comments,N/A,No distinct negative comment,N/A,0.001125
