post_id,post_caption,post_title,total_likes,num_shares,comment_text,comment_likes
1190483039302610,"ಗೃಹಕಚೇರಿಯಲ್ಲಿ ನನ್ನ ದಿನಚರಿ
#NammaPrabha #MPOfDavangere","ಗೃಹಕಚೇರಿಯಲ್ಲಿ ನನ್ನ ದಿನಚರಿ
#NammaPrabha #MPOfDavangere",161,4,God bless you each and every day of u life...we always pray for you..in our prayers 🙏,0
1190483039302610,"ಗೃಹಕಚೇರಿಯಲ್ಲಿ ನನ್ನ ದಿನಚರಿ
#NammaPrabha #MPOfDavangere","ಗೃಹಕಚೇರಿಯಲ್ಲಿ ನನ್ನ ದಿನಚರಿ
#NammaPrabha #MPOfDavangere",161,4,🚩💛❤️🇮🇳🍎🍎🌄🙏🎄🎄🍦🍦🥦🌾🌾🌾🪖🩺😍🎉😘🎶🥰🥰💕🍔🌅💋🤩⛄🍰🍰🔥🧬🥳⛱️🥪🥪🏬🏬 super working madam congratulations Jai hind Jai baratha mathaki Jai Jawan Jai Kishan madam congratulations 🚩💛❤️🇮🇳🪕⛑️📹🍞🍞🍥🍎🌄🙏🙏🎄🍦🥦🌾🌾🪖🪖🩺😍🎉😘🎶🥰🍔🌅🌅💋🤩⛄🍰🔥🧬⛱️🥪🥪🏬,0
1190483039302610,"ಗೃಹಕಚೇರಿಯಲ್ಲಿ ನನ್ನ ದಿನಚರಿ
#NammaPrabha #MPOfDavangere","ಗೃಹಕಚೇರಿಯಲ್ಲಿ ನನ್ನ ದಿನಚರಿ
#NammaPrabha #MPOfDavangere",161,4,🙏🌷Jai Ho 💐🇮🇳,0
1190483039302610,"ಗೃಹಕಚೇರಿಯಲ್ಲಿ ನನ್ನ ದಿನಚರಿ
#NammaPrabha #MPOfDavangere","ಗೃಹಕಚೇರಿಯಲ್ಲಿ ನನ್ನ ದಿನಚರಿ
#NammaPrabha #MPOfDavangere",161,4,👏👏👏💐,0
1189905516027029,"Newsday monday
Jan 20 - Jan 26
#NammaPrabha #MPOfDavangere","Newsday monday
Jan 20 - Jan 26
#NammaPrabha #MPOfDavangere",63,2,ಮೇಡಂ ಚಾಮರಾಜನಗರಕ್ಕೆ ಒಂದು ಸಾರಿ ಭೇಟಿ ಮಾಡಿ ನೀವು ಸರ್ವರಿಗೂ ಸಮಾನತೆ ಕಂಡವರು 🙏🏻🌹,0
1189905516027029,"Newsday monday
Jan 20 - Jan 26
#NammaPrabha #MPOfDavangere","Newsday monday
Jan 20 - Jan 26
#NammaPrabha #MPOfDavangere",63,2,ಇಲ್ಲಿ ಸಮಸ್ಯೆ ಬಗಿರಿದಿಲ್ಲ ಇನ್ನು ಅಲ್ಲಿ,0
1189905516027029,"Newsday monday
Jan 20 - Jan 26
#NammaPrabha #MPOfDavangere","Newsday monday
Jan 20 - Jan 26
#NammaPrabha #MPOfDavangere",63,2,Congralation  🙏,0
1189905516027029,"Newsday monday
Jan 20 - Jan 26
#NammaPrabha #MPOfDavangere","Newsday monday
Jan 20 - Jan 26
#NammaPrabha #MPOfDavangere",63,2,,0
1192099282474319,"ಬುಧವಾರದ ದಿನಸೂಚಿ.....
#NammaPrabha #MPOfDavangere","ಬುಧವಾರದ ದಿನಸೂಚಿ.....
#NammaPrabha #MPOfDavangere",286,10,"ತುಂಬಾ ಉತ್ತಮ ವಾದ ಕೆಲಸ ಮಾಡುತ್ತಿದ್ದೀರಿ ಮೇಡಂ ಇದೆ ರೀತಿ ಕಾರ್ಯ ಮುಂದುವರೆಯಲಿ ಎಂದು ಆರಸುವ ನಿಮ್ಮ ಪಕ್ಷದ ಸಹೋದರ, ಶೇಖರಪ್ಪ Huchavvanahalli,
ಮಾಜಿ ಗ್ರಾಮ ಪಂಚಾಯಿತಿ ಸದಸ್ಯರು 🙏🙏🙏",0
1192099282474319,"ಬುಧವಾರದ ದಿನಸೂಚಿ.....
#NammaPrabha #MPOfDavangere","ಬುಧವಾರದ ದಿನಸೂಚಿ.....
#NammaPrabha #MPOfDavangere",286,10,🙏🙏💐💐💐💐💐💐💐🙏💐🙏💐🙏💐🙏💐🙏💐🙏💐🙏,0
1192099282474319,"ಬುಧವಾರದ ದಿನಸೂಚಿ.....
#NammaPrabha #MPOfDavangere","ಬುಧವಾರದ ದಿನಸೂಚಿ.....
#NammaPrabha #MPOfDavangere",286,10,Congralation,0
1192099282474319,"ಬುಧವಾರದ ದಿನಸೂಚಿ.....
#NammaPrabha #MPOfDavangere","ಬುಧವಾರದ ದಿನಸೂಚಿ.....
#NammaPrabha #MPOfDavangere",286,10,"Good morning', madum ji",0
1192099282474319,"ಬುಧವಾರದ ದಿನಸೂಚಿ.....
#NammaPrabha #MPOfDavangere","ಬುಧವಾರದ ದಿನಸೂಚಿ.....
#NammaPrabha #MPOfDavangere",286,10,Madam 🔥🔥,0
1192099282474319,"ಬುಧವಾರದ ದಿನಸೂಚಿ.....
#NammaPrabha #MPOfDavangere","ಬುಧವಾರದ ದಿನಸೂಚಿ.....
#NammaPrabha #MPOfDavangere",286,10,ಹರಸುವ,0
1192099282474319,"ಬುಧವಾರದ ದಿನಸೂಚಿ.....
#NammaPrabha #MPOfDavangere","ಬುಧವಾರದ ದಿನಸೂಚಿ.....
#NammaPrabha #MPOfDavangere",286,10,Jai prabamma,0
1192099282474319,"ಬುಧವಾರದ ದಿನಸೂಚಿ.....
#NammaPrabha #MPOfDavangere","ಬುಧವಾರದ ದಿನಸೂಚಿ.....
#NammaPrabha #MPOfDavangere",286,10,💐🤝🤝🤝🤝🤝,0
1190641155953465,"ದಾವಣಗೆರೆಯ ವಾರ್ಡ್ 21 ರ ಬಸಾಪುರದ‌ ಸರ್ಕಾರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆಯ ವಾರ್ಷಿಕೋತ್ಸವ ಸಮಾರಂಭದಲ್ಲಿ ಭಾಗವಹಿಸಲಾಯಿತು.ಶಾಲೆಯ ಮಕ್ಕಳ ಶಿಸ್ತು, ಅಲ್ಲಿಯ ಸ್ವಚ್ಚ ಹಾಗೂ ಸುಂದರ ವಾತಾವರಣ ಮಾದರಿಯಾಗಿದೆ. ‌ಶಾಲೆಯಲ್ಲಿ ಇಂಗ್ಲಿಷ್ ಮಾಧ್ಯಮ ಪ್ರಾರಂಭಿಸಲಾಗಿರುವುದು ಮಕ್ಕಳಲ್ಲಿ ಕಲಿಕೆಗೆ ಸಹಕಾರಿಯಾಗಿದೆ.
#NammaPrabha #MPOfDavangere","ದಾವಣಗೆರೆಯ ವಾರ್ಡ್ 21 ರ ಬಸಾಪುರದ‌ ಸರ್ಕಾರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆಯ ವಾರ್ಷಿಕೋತ್ಸವ ಸಮಾರಂಭದಲ್ಲಿ ಭಾಗವಹಿಸಲಾಯಿತು.ಶಾಲೆಯ ಮಕ್ಕಳ ಶಿಸ್ತು, ಅಲ್ಲಿಯ ಸ್ವಚ್ಚ ಹಾಗೂ ಸುಂದರ ವಾತಾವರಣ ಮಾದರಿಯಾಗಿದೆ. ‌ಶಾಲೆಯಲ್ಲಿ ಇಂಗ್ಲಿಷ್ ಮಾಧ್ಯಮ ಪ್ರಾರಂಭಿಸಲಾಗಿರುವುದು ಮಕ್ಕಳಲ್ಲಿ ಕಲಿಕೆಗೆ ಸಹಕಾರಿಯಾಗಿದೆ.
#NammaPrabha #MPOfDavangere",271,13,Nice,0
1190641155953465,"ದಾವಣಗೆರೆಯ ವಾರ್ಡ್ 21 ರ ಬಸಾಪುರದ‌ ಸರ್ಕಾರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆಯ ವಾರ್ಷಿಕೋತ್ಸವ ಸಮಾರಂಭದಲ್ಲಿ ಭಾಗವಹಿಸಲಾಯಿತು.ಶಾಲೆಯ ಮಕ್ಕಳ ಶಿಸ್ತು, ಅಲ್ಲಿಯ ಸ್ವಚ್ಚ ಹಾಗೂ ಸುಂದರ ವಾತಾವರಣ ಮಾದರಿಯಾಗಿದೆ. ‌ಶಾಲೆಯಲ್ಲಿ ಇಂಗ್ಲಿಷ್ ಮಾಧ್ಯಮ ಪ್ರಾರಂಭಿಸಲಾಗಿರುವುದು ಮಕ್ಕಳಲ್ಲಿ ಕಲಿಕೆಗೆ ಸಹಕಾರಿಯಾಗಿದೆ.
#NammaPrabha #MPOfDavangere","ದಾವಣಗೆರೆಯ ವಾರ್ಡ್ 21 ರ ಬಸಾಪುರದ‌ ಸರ್ಕಾರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆಯ ವಾರ್ಷಿಕೋತ್ಸವ ಸಮಾರಂಭದಲ್ಲಿ ಭಾಗವಹಿಸಲಾಯಿತು.ಶಾಲೆಯ ಮಕ್ಕಳ ಶಿಸ್ತು, ಅಲ್ಲಿಯ ಸ್ವಚ್ಚ ಹಾಗೂ ಸುಂದರ ವಾತಾವರಣ ಮಾದರಿಯಾಗಿದೆ. ‌ಶಾಲೆಯಲ್ಲಿ ಇಂಗ್ಲಿಷ್ ಮಾಧ್ಯಮ ಪ್ರಾರಂಭಿಸಲಾಗಿರುವುದು ಮಕ್ಕಳಲ್ಲಿ ಕಲಿಕೆಗೆ ಸಹಕಾರಿಯಾಗಿದೆ.
#NammaPrabha #MPOfDavangere",271,13,ಮಾನ್ಯ ಸಂಸದರಲ್ಲೇ ಒಂದು ಮನವಿ ಇದೇ ರೀತಿಯಾಗಿ ಸರ್ಕಾರಿ ಶಾಲೆಗಳನ್ನು ಇಂಗ್ಲಿಷ್ ಮಾಧ್ಯಮಗಳನ್ನಾಗಿ ಪರಿವರ್ತಿಸಿ ಬಡವರ ಮಕ್ಕಳ ವಿದ್ಯಾಭ್ಯಾಸಕ್ಕೆ ಅನುಕೂಲ ಮಾಡಿಕೊಡಬೇಕಾಗಿ ವಿನಂತಿ ನಿಮ್ಮ ಕಾರ್ಯಕ್ರಮಗಳು ಚೆನ್ನಾಗಿದೆ ಮತ್ತು ಒಂದು ಸಲಹೆ ಸರ್ಕಾರಿ ಶಾಲೆಗಳ ಬಗ್ಗೆ ಪ್ರಥಮ ಪ್ರಶಸ್ತವನ್ನು ನೀಡಬೇಕಾಗಿ ಕೇಳಿಕೊಳ್ಳುತ್ತೇವೆ,0
1190641155953465,"ದಾವಣಗೆರೆಯ ವಾರ್ಡ್ 21 ರ ಬಸಾಪುರದ‌ ಸರ್ಕಾರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆಯ ವಾರ್ಷಿಕೋತ್ಸವ ಸಮಾರಂಭದಲ್ಲಿ ಭಾಗವಹಿಸಲಾಯಿತು.ಶಾಲೆಯ ಮಕ್ಕಳ ಶಿಸ್ತು, ಅಲ್ಲಿಯ ಸ್ವಚ್ಚ ಹಾಗೂ ಸುಂದರ ವಾತಾವರಣ ಮಾದರಿಯಾಗಿದೆ. ‌ಶಾಲೆಯಲ್ಲಿ ಇಂಗ್ಲಿಷ್ ಮಾಧ್ಯಮ ಪ್ರಾರಂಭಿಸಲಾಗಿರುವುದು ಮಕ್ಕಳಲ್ಲಿ ಕಲಿಕೆಗೆ ಸಹಕಾರಿಯಾಗಿದೆ.
#NammaPrabha #MPOfDavangere","ದಾವಣಗೆರೆಯ ವಾರ್ಡ್ 21 ರ ಬಸಾಪುರದ‌ ಸರ್ಕಾರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆಯ ವಾರ್ಷಿಕೋತ್ಸವ ಸಮಾರಂಭದಲ್ಲಿ ಭಾಗವಹಿಸಲಾಯಿತು.ಶಾಲೆಯ ಮಕ್ಕಳ ಶಿಸ್ತು, ಅಲ್ಲಿಯ ಸ್ವಚ್ಚ ಹಾಗೂ ಸುಂದರ ವಾತಾವರಣ ಮಾದರಿಯಾಗಿದೆ. ‌ಶಾಲೆಯಲ್ಲಿ ಇಂಗ್ಲಿಷ್ ಮಾಧ್ಯಮ ಪ್ರಾರಂಭಿಸಲಾಗಿರುವುದು ಮಕ್ಕಳಲ್ಲಿ ಕಲಿಕೆಗೆ ಸಹಕಾರಿಯಾಗಿದೆ.
#NammaPrabha #MPOfDavangere",271,13,ನಿಮ್ಮ ಸಂಸ್ಕೃತಿ ನಮಗೆಮತ್ತು ಮುಂದಿನ ಪೀಳಿಗೆಗೆ ದಾರಿ ದೀಪ....,0
